Year,hhi_norm,entropy_norm,entity,threshold,threshold_label
1990,0.1828374067966251,1.8677142787398096,Developer,,All
1991,0.1996848422823561,1.8100682728300086,Developer,,All
1992,0.19762858786831564,1.8019970108763086,Developer,,All
1993,0.18961113779572505,1.81833037057976,Developer,,All
1994,0.18899618733446477,1.8189938759263853,Developer,,All
1995,0.18869524225280404,1.811843952015826,Developer,,All
1996,0.18770461164728955,1.8208819220682722,Developer,,All
1997,0.18671157502569824,1.8320770997969076,Developer,,All
1998,0.1883520577396035,1.8296967473577872,Developer,,All
1999,0.17936252437598135,1.8750757902152178,Developer,,All
2000,0.1823839346108315,1.865686823425539,Developer,,All
2001,0.18733237966530114,1.824056335687182,Developer,,All
2002,0.18356093619041747,1.8387209662281818,Developer,,All
2003,0.19450045564092594,1.792170197202681,Developer,,All
2004,0.19162285899493206,1.801276341223469,Developer,,All
2005,0.19195183416429712,1.813098925598609,Developer,,All
2006,0.18864530602765575,1.8228968992747734,Developer,,All
2007,0.19296277153870675,1.8121614320023502,Developer,,All
2008,0.19936152643882937,1.7880429342617794,Developer,,All
2009,0.20135340539162563,1.764698229253732,Developer,,All
2010,0.20575711312593858,1.7414713661812846,Developer,,All
2011,0.20261384178834754,1.743849849238641,Developer,,All
2012,0.20227213961762733,1.7320621273300052,Developer,,All
2013,0.1999006174911325,1.7299410057550992,Developer,,All
2014,0.19243712994168036,1.7603645698062678,Developer,,All
2015,0.19155531663879383,1.7578656960635213,Developer,,All
2016,0.1887561831547767,1.7751643255405427,Developer,,All
2017,0.18779468276283626,1.772552257644035,Developer,,All
2018,0.17864069887480538,1.8262808349642252,Developer,,All
2019,0.1631693570572581,1.9109084762025215,Developer,,All
2020,0.16651037096028448,1.8766736650511902,Developer,,All
2021,0.16120196379765303,1.906680555382254,Developer,,All
2022,0.15888678285289226,1.9146100457320916,Developer,,All
2023,0.15956802268349224,1.9009984460152873,Developer,,All
1990,0.1722169694161826,1.9345499714490282,Developer,2.0,>= 2 games
1991,0.18334182259895537,1.9025149877326009,Developer,2.0,>= 2 games
1992,0.18631230340195823,1.8791860250013692,Developer,2.0,>= 2 games
